ISOCountryLC,UNDPCountry,ISOA3,HDIrating
Afghanistan,Afghanistan,AFG,Low Human Development
Åland Islands,,ALA,
Albania,Albania,ALB,High Human Development
Algeria,Algeria,DZA,High Human Development
American Samoa,,ASM,
Andorra,Andorra,AND,Very High Human Development
Angola,Angola,AGO,Low Human Development
Anguilla,,AIA,
Antarctica,,ATA,
Antigua and Barbuda,Antigua and Barbuda,ATG,High Human Development
Argentina,Argentina,ARG,Very High Human Development
Armenia,Armenia,ARM,High Human Development
Aruba,,ABW,
Australia,Australia,AUS,Very High Human Development
Austria,Austria,AUT,Very High Human Development
Azerbaijan,Azerbaijan,AZE,High Human Development
Bahamas,Bahamas,BHS,High Human Development
Bahrain,Bahrain,BHR,High Human Development
Bangladesh,Bangladesh,BGD,Low Human Development
Barbados,Barbados,BRB,Very High Human Development
Belarus,Belarus,BLR,High Human Development
Belgium,Belgium,BEL,Very High Human Development
Belize,Belize,BLZ,Medium Human Development
Benin,Benin,BEN,Low Human Development
Bermuda,,BMU,
Bhutan,Bhutan,BTN,Medium Human Development
"Bolivia, Plurinational State of",Bolivia (Plurinational State of),BOL,Medium Human Development
"Bonaire, Sint Eustatius and Saba",,BES,
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,High Human Development
Botswana,Botswana,BWA,Medium Human Development
Bouvet Island,,BVT,
Brazil,Brazil,BRA,High Human Development
British Indian Ocean Territory,,IOT,
Brunei Darussalam,Brunei Darussalam,BRN,Very High Human Development
Bulgaria,Bulgaria,BGR,High Human Development
Burkina Faso,Burkina Faso,BFA,Low Human Development
Burundi,Burundi,BDI,Low Human Development
Cambodia,Cambodia,KHM,Medium Human Development
Cameroon,Cameroon,CMR,Low Human Development
Canada,Canada,CAN,Very High Human Development
Cape Verde,Cape Verde,CPV,Medium Human Development
Cayman Islands,,CYM,
Central African Republic,Central African Republic,CAF,Low Human Development
Chad,Chad,TCD,Low Human Development
Chile,Chile,CHL,Very High Human Development
China,China,CHN,Medium Human Development
Christmas Island,,CXR,
Cocos (Keeling) Islands,,CCK,
Colombia,Colombia,COL,High Human Development
Comoros,Comoros,COM,Low Human Development
Congo,Congo,COG,Low Human Development
"Congo, the Democratic Republic of the",Congo (Democratic Republic of the),COD,Low Human Development
Cook Islands,,COK,
Costa Rica,Costa Rica,CRI,High Human Development
Côte d'Ivoire,Côte d'Ivoire,CIV,Low Human Development
Croatia,Croatia,HRV,Very High Human Development
Cuba,Cuba,CUB,High Human Development
Curaçao,,CUW,
Cyprus,Cyprus,CYP,Very High Human Development
Czech Republic,Czech Republic,CZE,Very High Human Development
Denmark,Denmark,DNK,Very High Human Development
Djibouti,Djibouti,DJI,Low Human Development
Dominica,Dominica,DMA,High Human Development
Dominican Republic,Dominican Republic,DOM,Medium Human Development
Ecuador,Ecuador,ECU,High Human Development
Egypt,Egypt,EGY,Medium Human Development
